Identifies the type of dwelling involved in the sale,Identifies the general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions if more than one is present,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date same as construction date if no remodeling or additions,Type of roof,Roof material,Exterior covering on the house,Exterior covering on house if more than one material,Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area if multiple types,Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second floor square feet,Low quality finished square feet all floors,Above grade ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half baths above grade,Bedrooms above grade does not include basement bedrooms,Kitchens above grade,Kitchen Quality,Total rooms above grade does not include bathrooms,Home functionality Assume typical unless deductions are warranted,Number of fireplaces,Fireplace quality,Garage location,The year garage was built,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Pool area in square feet,Value of miscellaneous feature,Month Sold,Year Sold,Type of sale,Condition of sale,Sale price
20,Residential Low-Density,73,7100,Paved,Slightly irregular,Level,All public Utilities,Corner lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,7,1957,1957,Gable,Standard (Composite) Shingle,Wood Shingles,Wd Shng,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,708,Unfinished,0,108,816,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),816,0,0,816,1,0,1,0,2,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,1957,Unfinished,1,308,Average/Typical,Average/Typical,Paved,0,0,0,0,0,7,2006,Warranty Deed-Conventional,Normal Sale,129900
20,Residential Low-Density,66,8923,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,7,1953,2006,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Below Average Living Quarters,643,Unfinished,0,365,1008,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1008,0,0,1008,1,0,1,0,2,1,Good,6,Typical Functionality,0,No,Attached to the home,1953,Unfinished,1,240,Average/Typical,Average/Typical,Paved,0,18,0,0,0,5,2007,Warranty Deed-Conventional,Normal Sale,134500
20,Residential Low-Density,90,5400,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Old Town,Normal,Normal,Single-family Detached,One story,5,7,1954,2000,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Rec Room,415,Unfinished,0,418,833,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,833,0,0,833,0,0,1,0,2,1,Good,4,Typical Functionality,0,No,Detached from home,1955,Unfinished,1,326,Average/Typical,Average/Typical,Paved,0,0,0,0,0,8,2006,Warranty Deed-Conventional,Normal Sale,117000
20,Residential Low-Density,93,12085,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,One story,8,5,2007,2007,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,328,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,1004,Unfinished,0,730,1734,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1734,0,0,1734,1,0,2,0,3,1,Excellent,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2007,Rough Finished,3,928,Average/Typical,Average/Typical,Paved,0,0,0,0,0,11,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),318000
80,Residential Low-Density,0,7750,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Split Level,8,5,2002,2002,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,353,Unfinished,0,55,408,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,779,640,0,1419,1,0,2,1,3,1,Good,7,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house-typically has room above the garage),2002,Finished,2,527,Average/Typical,Average/Typical,Paved,120,0,0,0,0,3,2009,Warranty Deed-Conventional,Normal Sale,184100
20,Residential Low-Density,57,9764,Paved,Slightly irregular,Level,All public Utilities,Frontage on 2 sides of the property,Gentle slope,Sawyer,Adjacent to feeder street,Normal,Single-family Detached,One story,5,7,1967,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Below Average Living Quarters,702,Unfinished,0,192,894,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,894,0,0,894,1,0,1,0,3,1,Good,5,Typical Functionality,0,No,Attached to the home,1967,Rough Finished,2,450,Average/Typical,Average/Typical,Paved,0,0,0,0,0,5,2008,Warranty Deed-Conventional,Normal Sale,130000
80,Residential Low-Density,85,13825,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,Split Level,5,6,1958,1987,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,533,533,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1021,580,0,1601,0,1,1,0,3,1,Average/Typical,6,Minor Deductions 2,0,No,Built-In (Garage part of the house-typically has room above the garage),1958,Rough Finished,1,300,Average/Typical,Average/Typical,Paved,280,34,0,0,0,12,2008,Warranty Deed-Conventional,Normal Sale,140000
20,Residential Low-Density,70,7560,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,5,1959,1959,Gable,Standard (Composite) Shingle,Brick Face,Wood Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Low Quality,369,Unfinished,0,671,1040,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1040,0,0,1040,0,0,1,0,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,1959,Rough Finished,1,286,Average/Typical,Average/Typical,Paved,140,0,252,0,0,7,2006,Warranty Deed-Conventional,Normal Sale,133700
30,Residential Medium Density,59,8263,Paved,Regular,Banked,All public Utilities,Inside lot,Moderate slope,Iowa DOT and Rail Road,Normal,Normal,Single-family Detached,One story,6,5,1920,1950,Gable,Standard (Composite) Shingle,Brick Face,Brick Face,None,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1012,1012,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1012,0,0,1012,0,0,1,0,2,1,Average/Typical,6,Typical Functionality,1,Good-Masonry Fireplace on the main level,Detached from home,1920,Unfinished,1,308,Average/Typical,Average/Typical,Paved,0,22,112,0,0,5,2007,Warranty Deed-Conventional,Normal Sale,118400
20,Residential Low-Density,84,10084,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,7,5,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,196,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Average Exposure,Good Living Quarters,24,Unfinished,0,1528,1552,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1552,0,0,1552,0,0,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2005,Rough Finished,3,782,Average/Typical,Average/Typical,Paved,144,20,0,0,0,7,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),212900
20,Residential Low-Density,0,8926,Paved,Slightly irregular,Level,All public Utilities,Corner lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,One story,4,3,1956,1956,Gable,Standard (Composite) Shingle,Asbestos Shingles,Asbestos Shingles,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,672,672,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),960,0,0,960,0,0,1,0,3,1,Average/Typical,5,Typical Functionality,0,No,Basement Garage,1956,Unfinished,1,288,Average/Typical,Average/Typical,Paved,64,0,0,0,0,10,2009,Court Officer Deed/Estate,"Abnormal Sale-trade, foreclosure, short sale",112000
20,Residential Low-Density,50,9405,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,One story,5,9,1947,2008,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Excellent,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,698,698,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,698,0,0,698,0,1,1,0,2,1,Average/Typical,4,Typical Functionality,0,No,No,1978,No,0,0,No,No,Paved,0,200,0,0,0,6,2009,Warranty Deed-Conventional,Normal Sale,118000
80,Residential Low-Density,0,9125,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Split Level,7,5,1992,1992,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,170,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,384,384,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,812,670,0,1482,0,0,2,1,3,1,Good,7,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1992,Finished,2,392,Average/Typical,Average/Typical,Paved,100,25,0,0,0,7,2007,Warranty Deed-Conventional,Normal Sale,163900
20,Residential Low-Density,60,10434,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,4,5,1955,1955,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1005,1005,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1005,0,0,1005,0,0,1,0,2,1,Fair,5,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1977,Unfinished,2,672,Fair,Fair,Paved,0,0,0,0,0,11,2009,Warranty Deed-Conventional,Normal Sale,115000
120,Residential Low-Density,53,3684,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Bloomington Heights,Normal,Normal,Townhouse End Unit,One story,7,5,2007,2007,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,130,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1373,1373,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1555,0,0,1555,0,0,2,0,2,1,Good,7,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2007,Finished,3,660,Average/Typical,Average/Typical,Paved,143,20,0,0,0,6,2009,Warranty Deed-Conventional,Normal Sale,174000
20,Residential Low-Density,182,14572,Paved,Irregular,Level,All public Utilities,Corner lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,One story,7,5,2004,2004,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Average Exposure,Good Living Quarters,1300,Unfinished,0,230,1530,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1530,0,0,1530,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2004,Finished,3,630,Average/Typical,Average/Typical,Paved,144,36,0,0,0,11,2007,Warranty Deed-Conventional,Sale between family members,259000
60,Residential Low-Density,59,11796,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Two-story,7,5,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,847,847,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,847,1112,0,1959,0,0,2,1,4,1,Good,8,Typical Functionality,1,Good-Masonry Fireplace on the main level,Built-In (Garage part of the house-typically has room above the garage),2004,Finished,2,434,Average/Typical,Average/Typical,Paved,100,48,0,0,0,7,2007,Warranty Deed-Conventional,Normal Sale,215000
90,Residential Medium Density,60,7200,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Old Town,Normal,Normal,Duplex,Split Foyer,5,5,1980,1980,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,180,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,Good Exposure,Good Living Quarters,936,Unfinished,0,0,936,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,936,0,0,936,1,0,1,0,2,1,Average/Typical,4,Typical Functionality,0,No,Detached from home,1980,Unfinished,2,672,Average/Typical,Average/Typical,Paved,49,0,0,0,0,8,2007,Warranty Deed-Conventional,Normal Sale,140000
50,Residential Low-Density,65,7804,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,South & West of Iowa State University,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,4,3,1928,1950,Gable,Standard (Composite) Shingle,Wood Shingles,Plywood,None,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Below Average Living Quarters,622,Unfinished,0,500,1122,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1328,653,0,1981,1,0,2,0,4,1,Good,7,Minor Deductions 2,2,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1981,Unfinished,2,576,Average/Typical,Average/Typical,Paved,431,44,0,0,0,12,2009,Warranty Deed-Conventional,Normal Sale,135000
20,Residential Low-Density,63,10712,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Mitchell,Normal,Normal,Single-family Detached,One story,5,5,1991,1992,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Mimimum Exposure,Below Average Living Quarters,212,Unfinished,0,762,974,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,974,0,0,974,0,0,1,0,3,1,Average/Typical,5,Typical Functionality,0,No,No,1978,No,0,0,No,No,Paved,0,28,0,0,0,9,2007,Other,"Abnormal Sale-trade, foreclosure, short sale",93500
70,Residential Medium Density,90,9900,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Old Town,Normal,Normal,Single-family Detached,Two-story,6,4,1880,1950,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,Mimimum Exposure,Unfinished,0,Unfinished,0,1008,1008,Gas hot water or steam heat,Average/Typical,Yes,Standard Circuit Breakers & Romex,1178,1032,0,2210,0,0,2,0,5,1,Fair,8,Typical Functionality,0,No,Detached from home,1930,Unfinished,1,205,Fair,Average/Typical,Dirt/Gravel,0,48,0,0,0,5,2007,Warranty Deed-Conventional,Normal Sale,117500
60,Residential Low-Density,80,9828,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,Two-story,8,5,1995,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,584,Unfinished,0,544,1128,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1142,878,0,2020,0,0,2,1,3,1,Good,8,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1995,Rough Finished,2,466,Average/Typical,Average/Typical,Paved,0,155,0,0,0,6,2009,Warranty Deed-Conventional,Normal Sale,239500
60,Residential Low-Density,57,8773,Paved,Slightly irregular,Hillside,All public Utilities,Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Two-story,6,5,1997,1997,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,916,916,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,916,684,0,1600,0,0,2,1,3,1,Average/Typical,7,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1997,Finished,2,460,Average/Typical,Average/Typical,Paved,100,38,0,0,0,8,2007,Warranty Deed-Conventional,Normal Sale,169000
30,Residential Medium Density,60,6180,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,Brookside,Normal,Normal,Single-family Detached,One story,6,5,1926,1950,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,960,960,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,986,0,0,986,0,0,1,0,2,1,Average/Typical,5,Typical Functionality,1,Good-Masonry Fireplace on the main level,Detached from home,1926,Unfinished,1,180,Average/Typical,Average/Typical,Paved,0,128,0,0,0,5,2007,Warranty Deed-Conventional,Normal Sale,102000
50,Residential Low-Density,80,9600,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,6,5,1950,1950,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Below Average Living Quarters,280,Unfinished,0,752,1032,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1032,220,0,1252,0,0,1,0,3,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,1950,Unfinished,1,288,Average/Typical,Average/Typical,Paved,0,0,96,0,0,4,2008,Warranty Deed-Conventional,"Abnormal Sale-trade, foreclosure, short sale",119000
50,Residential Low-Density,54,6342,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer,Adjacent to feeder street,Normal,Single-family Detached,One and one-half story: 2nd level finished,5,8,1875,1996,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,780,780,Gas forced warm air furnace,Good,No,Standard Circuit Breakers & Romex,780,240,0,1020,0,0,1,0,2,1,Average/Typical,6,Typical Functionality,0,No,No,1978,No,0,0,No,No,Dirt/Gravel,0,0,176,0,0,5,2010,Warranty Deed-Conventional,Normal Sale,94000
20,Residential Low-Density,0,9819,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Moderate slope,Mitchell,Normal,Normal,Single-family Detached,One story,6,5,1977,1977,Gable,Standard (Composite) Shingle,Plywood,Imitation Stucco,None,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical-slight dampness allowed,Good Exposure,Average Living Quarters,1567,Unfinished,0,0,1567,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1567,0,0,1567,1,0,2,0,2,1,Good,5,Typical Functionality,2,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1977,Rough Finished,2,714,Average/Typical,Average/Typical,Paved,264,32,0,0,0,5,2009,Warranty Deed-Conventional,Normal Sale,196000
30,Residential Low-Density,98,8731,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Brookside,Normal,Normal,Single-family Detached,One story,5,5,1920,1950,Gable,Standard (Composite) Shingle,Stucco,Stucco,None,0,Average/Typical,Fair,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Below Average Living Quarters,645,Unfinished,0,270,915,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1167,0,0,1167,0,0,1,0,3,1,Average/Typical,6,Major Deductions 1,1,Good-Masonry Fireplace on the main level,Detached from home,1972,Unfinished,2,495,Average/Typical,Average/Typical,Paved,0,0,216,0,0,5,2007,Warranty Deed-Conventional,Normal Sale,144000
20,Residential Low-Density,60,7350,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,7,1951,1951,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,Mimimum Exposure,Average Living Quarters,852,Unfinished,0,100,952,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,952,0,0,952,1,0,1,0,2,1,Average/Typical,4,Typical Functionality,0,No,Detached from home,1988,Unfinished,2,840,Average/Typical,Average/Typical,Paved,0,0,0,0,0,6,2008,Court Officer Deed/Estate,"Abnormal Sale-trade, foreclosure, short sale",139000
60,Residential Low-Density,0,10304,Paved,Slightly irregular,Level,All public Utilities,Cul-de-sac,Gentle slope,Northwest Ames,"Near positive off-site feature--park, greenbelt, etc.",Normal,Single-family Detached,Two-story,5,7,1976,1976,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,44,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Living Quarters,381,Unfinished,0,399,780,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1088,780,0,1868,1,0,2,1,4,1,Good,9,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976,Unfinished,2,484,Average/Typical,Average/Typical,Paved,448,96,0,0,0,10,2009,Warranty Deed-Conventional,Normal Sale,197500
60,Residential Low-Density,77,9965,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two-story,8,5,2006,2007,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,340,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,Good Exposure,Good Living Quarters,1150,Unfinished,0,316,1466,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1466,1362,0,2828,1,0,3,0,4,1,Good,11,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house-typically has room above the garage),2006,Rough Finished,3,1052,Average/Typical,Average/Typical,Paved,125,144,0,0,0,4,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),424870
20,Residential Low-Density,0,9000,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,5,3,1959,1959,Gable,Standard (Composite) Shingle,Wood Siding,Plywood,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,288,Unfinished,0,718,1006,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1006,0,0,1006,0,0,1,0,3,1,Average/Typical,5,Typical Functionality,0,No,No,1978,No,0,0,No,No,Paved,0,24,0,0,0,7,2008,Warranty Deed-Conventional,Normal Sale,80000
190,Residential Low-Density,60,12180,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Edwards,Normal,Normal,2fmCon,One and one-half story: 2nd level finished,4,4,1941,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Fair,Brick & Tile,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Below Average Living Quarters,348,Unfinished,0,324,672,Gravity furnace,Fair,No,Fuse Box over 60 AMP and all Romex wiring (Average),672,252,0,924,1,0,1,0,2,1,Fair,5,Typical Functionality,0,No,Detached from home,1941,Unfinished,1,280,Average/Typical,Average/Typical,Paved,0,0,0,0,0,7,2010,Warranty Deed-Conventional,Normal Sale,80000
50,Residential Medium Density,52,6240,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Brookside,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,5,6,1928,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1042,1042,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1042,534,0,1576,0,0,1,0,3,1,Average/Typical,8,Typical Functionality,1,Good-Masonry Fireplace on the main level,Detached from home,1928,Unfinished,1,225,Average/Typical,Average/Typical,Paved,0,0,0,0,0,8,2006,Warranty Deed-Conventional,Sale between family members,149000
20,Residential Low-Density,0,11200,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,One story,6,5,1985,1985,Gable,Standard (Composite) Shingle,Wood Siding,Wd Shng,Brick Face,85,Good,Average/Typical,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,1258,Unfinished,0,40,1298,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1298,0,0,1298,1,0,2,0,3,1,Good,5,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1985,Unfinished,2,403,Average/Typical,Average/Typical,Paved,165,26,0,0,0,5,2006,Warranty Deed-Conventional,Normal Sale,180000
70,Residential Low-Density,75,12000,Paved,Regular,Banked,All public Utilities,Inside lot,Gentle slope,Crawford,Normal,Normal,Single-family Detached,Two-story,7,7,1941,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Rec Room,275,Unfinished,0,429,704,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,860,704,0,1564,0,0,1,1,3,1,Fair,7,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,1941,Unfinished,1,234,Average/Typical,Average/Typical,Paved,0,0,0,0,0,7,2009,Warranty Deed-Conventional,Normal Sale,174500
